普通中文,客家汉字,Hakka Pronunciation,English Definition
大後天,大後日,tai4 heu4 ngit5,Two days after tomorrow
次日,第二日,ti4 ngi4 ngit5,Next day
每天,日日,ngit5 ngit5,Everyday
日子(時日),日子,ngit5 zu1,Day
(幾個)小時,鐘頭,zung1 teu2,Hour
(幾)點,點鐘,diam3 zung1,O’clock
黎明(日出前),天光,tien1 gong1,Dawn
早晨(泛指),朝晨頭,zau1 sin2 teu2,Early morning
上午,上晝,song4 ziu4,Morning
中午,晏晝,an4 ziu4,Noon
下午,下晝,ha1 ziu4,Afternoon
傍晚,斷暗,ton1 am4,Dusk
白天,日辰頭,ngit5 sin2 teu2,Daytime
夜裏(睡靜後),夜晚辰,ya4 man1 sin2,Night
晚上(掌燈至入睡前),晚辰頭,man1 sin2 teu2,Evening
整天,成日,sang2 ngit5,Whole day
天亮了,天光,tien1 gong1,Daybreak
天黑了,斷暗,ton1 am4,(The day is) getting dark
月初,月頭,ngiet6 teu2,Beginning of the month
月底,月尾,ngiet6 mui1,At the end of the month
從前,早下,zau3 ha4,Before In the past
現在,今下,gin1 ha4,Now
現在,今下,gin1 la4,Now
起初,開頭,hoi1 teu2,At the beginning
後來,跟尾,gen4 mui1,Later
後來,黏尾,ngiam2 mui1,Later
最後,包尾,bau1 mui1,At last
剛才,正先,cang4 sien1,A moment ago
大年初一,正年初一,cang1 ngiet6 co1 yit5,The first day of Chinese Lunar New Year
端午節,五月節,ng1 ngiet6 ziet5,Dragon Boat Festival
中秋節,八月十五,bat5 ngiet6 sip6 ng3,Mid-Autumn Festival
中秋節,八月半,bat5 ngiet6 ban4,Mid-Autumn Festival
重陽節,重陽,cung2 yong2,The Double Ninth Festival
除夕,年三十晚,ngien2 sam1 sip6 man1,Chinese New Year's Eve
曆書,通書,tung1 su1,Almanac
一輩子,一世,yit5 se4,A whole life
前世,前世,cien2 se4,Previous life
後世,轉世,zon3 se4,Next life
一會兒,一陣間,yit5 cin4 gan1,A while
一會兒,陣時間,cin4 si2 gan1,A while
瞬間,攝下眼,ngiap5 ha4 ngan3,A moment
(什麼)時候,時途,si2 tu2,(What) time
水田,水田,sui3 tien2,Paddy field
旱地,旱地,hon1 ti4,Dry land
田埂,田塍壆,tien2 sun2 bok5,Field ridge
土坎兒,墩頭,dun1 teu2,Mound
種田,耕田,gang1 tien2,Farm(v.)
拔秧,扯秧,ca3 yong1,Pull up the seedling (from the nursery)
插秧,蒔田,si4 tien2,Transplant rice seedlings (into irrigated field)
耘田,耘田,vun2 tien2,Plough(v) furrow
割稻,割禾,got5 vo2,Reap the paddy
脫粒,拌禾,pan1 vo2,Thresh
稻草,禾稈草,vo2 gon3 cau3,Straw
稻茬兒,禾稈頭,vo2 gon3 teu2,The bottom of the paddy stalk
撒(草木灰),敥,yam4,Scatter
漚肥(漚制肥料),漚肥,eu4 pui2,Fermentation of organic fertilizer
鋤頭,钁鋤,giok5 co2,Hoe
(鋤頭)把,柄,biang4,Hoe handle
鐵鍬,鐵鏟,tiet5 can3,Shovel
