普通中文,客家汉字,Hakka Pronunciation,English Definition
螃蟹,老蟹,lau4 hai3,Crab
螺螄(小，殼硬),石螺,sak6 lo2,"A sharp spiral snail (with hardshell, small)"
田螺(大，殼薄),田螺,tien2 lo2,"Field snail (with soft shell, bigger)"
鱔魚,黃鱔,vong2 sien1,Eel
鯉魚,鯉嫲,li1 ma2,Carp
鯽魚,鯽魚,zit5 ng2,Crucian carp
(魚)鱗,鱗,lin1,Scale (offish)
(魚)卵,春,cun1,(Fish) spawn
家(住處),屋下,vuk5 ka1,Home
房子(整座),屋,vuk5,House
蓋(房子),起,hi3,Build (a house)
打房基,挑地腳,tiau1 ti4 giok5,Build the foundation of a house
築牆(用板夯築土牆),舂籬,zung1 li2,Make the wall (traditionally)
磚,磚,zon1,Brick
斷磚,磚碌,zon1 luk5,The broken brick
土坯(未經燒制土磚),泥磚,lai2 zon1,Adobe (brick not yet baked in the kilns)
瓦(整塊),瓦,nga1,Tile
瓦片(碎片),瓦析,nga3 sit5,The broken tile
梁,樑,liong2,Beam
上樑(架房梁),上樑,song3 liong2,The ceremony of putting the beam up to the roof
椽子,桁,hang2,Rafter
屋簷,屋簷,vuk5 yam2,Eave
柱子,柱,cu1,Pillar
柱石,柱躉,cu1 dun3,Cornerstone
房間,間肚,gan1 du3,Room
廳,正廳,zin4 tiang1,Hall
廂房,偏廳,pien1 tiang1,Wing-room
天井,天井,tien1 ziang3,Courtyard inside of a house
院子,坪,piang2,Yard
墻,墻,siong2,Wall
墻,壁頭,biak5 teu2,Wall
砌(墻),結,giet5,Laying bricks (to build a wall)
窗戶,窗門,cung1 mun2,Window
門,門,mun2,Door
側門,側門,zet5 mun2,Wing-door
門檻兒,門檻,mun2 kiam1,Door stop
門鎖,門搭,mun2 dap5,Door catch
門鎖,門弄,mun2 lung4,Door catch
曬臺(樓頂曬物平臺),天棚,tien1 pang2,A plain roof (to dry clothes)
欄杆,欄河,lan2 ho2,Handrail
台階,石級,sak6 gap5,Steps
樓梯(大，固定),樓梯,leu2 toi1,Stairs
梯子(可移動),陡梯,deu3 toi1,Ladder
水井,井,ziang3,Well
廚房,灶下,zau4 ha1,Kitchen
廚房,廚房,cu2 fong2,Kitchen
煙囪,煙囪銜,yen1 cung1 ham2,Chimney
砌灶,打灶頭,da3 zau4 teu2,Making a terrene kitchen stove
廁所,屎坑,si3 hang1,Toilet
廁所,廁所,ci4 so3,Toilet
角落,角落頭,gok5 lok6 teu2,Corner
窟窿,窿空,lung2 kung1,Hole
縫兒,坼,cak5,Aperture
雞窩(生蛋處),雞竇,gai1 deu4,Hen coop
雞籠(棲息處),雞籠【可移動】,gai1 lung1,Chicken cage (for raising)
雞籠(棲息處),雞塒【固定】,gai1 zi4,Chicken cage (for raising)
豬圈,豬欄,zu1 lan2,Pigpen
牛欄,牛欄,ngiu2 lan2,Bullpen
傢具,傢俬,ga1 su1,Furniture
桌子,桌頭,zok5 teu2,Table
椅子(統稱),交椅,gau4 yi3,Chair
凳子(統稱),凳,den4,Stool
長條板凳,條凳,ban3 den4,Bench
書桌,書桌,su1 zok5,Desk
櫃子(臥式，有掀蓋),櫃,kui4,Cupboard (with one door on top)
櫥子(立式，有拉門),櫥,cu2,Cabinet (closet)
抽屜,拖箱,to1 siong1,Drawer
箱子,箱,siong1,Box
床,眠床,min2 cong2,Bed
竹席,竹席,zuk5 ciak6,Bamboo mat
草席,草席,zau3 ciak6,Straw mat
被子,被,pi1,Quilt
褥子,褥,yuk6,Mattress
毯子,氈,zien1,Blanket
枕頭,枕頭,zim3 teu2,Pillow
毛線,冷線,lang1 sien1,Wool
蚊帳,蚊帳,min1 zong4,Mosquito net (for the bed)
窗簾,窗簾,cung1 liam2,Curtain
臉盆,面盆,mien4 pun2,Washing basin
毛巾,手巾,siu3 gin1,Towel
肥皂,番鹼,fan1 gan3,Soap
鏡子,鏡,giang4,Mirror
梳子,梳仔,so1 zai3,Comb
牙刷,牙刷,nga2 sot5,Toothbrush
牙刷,牙擦,nga2 cat5,Toothbrush
牙膏,牙膏,nga2 gau1,Toothpaste
水舀子,勺嫲,sok6 ma2,Ladle
水瓢(葫蘆製),葫蘆杓,pu2 lu2 sok6,Gourd ladle
洗衣槌,擂搥,lui2 cui2,Mallet for clothe washing
大缸,缸,gong1,Vat
水缸,水缸,sui3 gong1,Water vat
罈子(大肚小口),埕,cin2,Crock
缽子,缽頭,bat5 teu2,Big bowl
罐子,罌哥,ang1 go1,Jar
瓶子(玻璃製),樽,zun1,Bottle
(瓶)塞子,卒,zut5,Stopper (plug)
茶碗(飲茶用，有蓋有托盤),茶盅,ca2 zung1,Teabowl
茶杯,杯,bui1,Teacup
碗,碗,von3,Bowl
水壼(燒開水用),沸水壼,bui4 sui3 fu2,Kettle
茶壼(泡茶用),茶壼,ca2 fu2,Teapot
暖水瓶,暖壼,lon1 fu2,Thermos
調羹,調羹,ci2 gang1,Spoon
(飯)勺兒,飯勺,fan4 sok6,Scoop
筷子,筷子,kai4 zu3,Chopsticks
柴火(統稱),柴,cai2,Firewood
煤,煤,moi2,Coal
木炭,火炭,fo3 tan4,Charcoal
火灰,火灰,fo3 foi1,Ash
火籠(單人烤火用),爐墩,lu2 dun3,A small burner for keeping warm in winter
火箱(多人烤火用),火桶,fo3 tung3,A bigger burner for keeping warm in winter
爐子,火爐,fo3 lu2,Stove
生火,起火,hi3 fo3,Make a fire
鍋,鑊頭,vok6 teu2,Pan
鍋蓋,鑊蓋,vok6 goi4,Pot cover
鍋鏟,鍋鏟,vok6 can3,Pancake turner
鍋堙子(鍋背的煙灰),鍋癆,vok6 lau1,Ash on the under-side of iron pan
砧板,砧板,ziem1 ban3,Chopping block
菜刀,刀嫲,dau2 ma2,Chopper
蒸籠,蒸籠,zin1 lung2,Bamboo steamer
甑,飯甑,fan4 zen4,Urn
筲箕,筲箕,sau4 gi1,Bamboo basket for washing rice
笊籬,撈箕,lau2 gi1,Bamboo basket for frying
炊帚,鑊掃,vok6 sau4,A tiny broom to kitchen to sweep the hearth
抹布,桌帕,zok5 pa4,Dish cloth
火柴,火柴,fo3 cai2,Match
旱煙袋,煙筒,yen1 tung2,Tabacco pouch
水煙袋,水煙筒,sui3 yen1 tung2,Shisha pouch (for water-pipe smoking)
手電筒,電筒,tien4 tung2,"Flashlight, electric torch"
電燈,電火,tien4 fo3,Light
蠟蠋,蠟蠋,lap6 zuk5,Candle
汽油,電油,tien4 yiu2,Petrol
煤油,火水,fo3 sui3,Kerosene
馬桶,尿桶,ngiau4 tung3,Commode
尿桶(擔糞用，無蓋),尿桶,ngiau4 tung3,Urine barrel
糞勺,尿角,ngiau4 gok5,Dung ladle
痰盂,痰筒,tam2 tung2,Spittoon
打水桶,吊桶,diau4 tung3,Bucket for getting water from well
鈅匙,鎖匙,so3 si2,Key
鎖,鎖頭,so3 teu2,Lock
蓑衣,蓑衣,so1 yi1,Straw raincoat
斗笠,笠嫲,lip5 ma2,Bamboo split hat
扇子(統稱),扇,sien4,Fan
雨傘,遮,za1,Umbrella
笤帚(小),掃杆,sau4 gon3,"Broom (small, usually made of broom corn)"
掃帚(大),掃把,sau4 ba3,"Broom (big, made of bamboo branches)"
簸箕(簸穀用),簸箕,boi4 gi1,Dustpan (to get rid of blighted grain)
團箕(曬谷米用，較大),簸箕,boi4 gi1,Dustpan (for grains to dry under the sun)
竹竿,竹篙,zuk5 gau1,Bamboo pole
曬衣篙,竹篙,zuk5 gau1,Pole for pegging the clothes to dry
竹叉(架曬衣篙用),丫叉,a1 ca1,Bamboo fork to support the pole
衣叉(叉取衣服用),丫叉仔,a1 ca1 zai3,Clothes rack
拐杖,拐掍,gai3 gun4,Crutch
笱(一種竹制捕魚器),罍仔,lui3 zai3,A bamboo trap for fishing
釣魚竿,釣檳,diau4 bin1,Fish pole
工具,傢生,ga1 sang1,Tool
錘子,錘仔,cui2 zai3,Hammer
錐子,鉆仔,zon4 zai3,"Bodkin, borer"
斧子,斧頭,bu3 teu2,Axe
鉗子,鉗仔,kiam2 zai3,Pincers
鑷子,鉗仔,kiam2 zai3,Forceps
鑿子,鑿仔,cok6 zai3,Chisel
鋸,鋸仔,gi4 zai3,Saw
銼刀,銼刀,co4 tau2,Rasp
鉆(木匠鉆眼工具),鉆仔,zon4 zai3,Drill
鉋子,刨仔,pau2 zai3,Plane (A hand plane is a tool for shaping wood using muscle power)
鉤子,鉤仔,geu1 zai3,Saw hook
釘子,鐵釘,tiet5 dang1,Nail
剪刀,剪刀,zien3 dau1,Scissors
針,針,zim1,Needle
頂針兒,頂指,din3 zi3,Thimble
線,線,sien4,Thread
縫紉機,衣車,yi1 ca1,Sewing machine
(器物)底部,叾,duk5,Bottom
(器物)邊緣,邊唇,bien1 sun2,Brim
(器物)裂縫兒,坼,cak5,Crack
痕跡(器皿上的印跡),影,yang4,Mark
(傢具)開裂,開坼,hoi1 cak5,Split
衣服,衫褲,sam1 fu4,Clothes
買布,剪布,zien3 bu4,Buy the cloth
黑布,烏布,vu1 bu4,Black cloth
剪(布),剪,zien3,Cut (cloth)
試(衣服),試,ci4,Try on (clothes)
上衣,面衫,mien4 sam1,Coat
襯衫,恤衫,sut6 sam1,Shirt
汗衫(貼身衣),底衫,dai3 sam1,Underwear
棉襖,襖婆,au3 po2,Wadded cotton jacket
夾襖,背搭,boi4 dap5,Lined jacket
大衣(棉衣，較長),大褸,tai4 leu1,Overvoat
毛衣,冷衫,lang1 sam1,Sweater
(被子)面子,面,mien4,Quilt/Duvet cover
(被子)裏子,被肉,pi1 ngiuk5,Quilt inner/Duvet insert
背心,背心,boi4 sim1,Jacket
褲子,褲,fu4,Trousers
短褲,短褲,don3 fu4,Pants
褲腿,褲腳,fu4 giok5,Trousers legs
褲襠(褲子襠部),褲襠,fu4 long4,Crotch of trousers
開襠褲,開襠褲,hoi1 long4 fu4,Trousers without crotch (for baby)
滿襠褲,密襠褲,mit6 long4 fu4,Trousers with crotch
裙子,裙,kiun2,Skirt
袖子,衫袖,sam1 ciu4,Sleeve
領子,衫領,sam1 liang1,Collar
(衣服)皺(了),縐,ziu4,Crease
(衣服)破(了),爛,lan4,Ragged
(衣服)口袋,衫袋,sam1 toi4,Pocket
子母扣,啪扭,bak6 leu3,Snap Fastener
紐扣,紐仔,leu3 zai3,Button
別針,結針,giet5 zim1,Brooch
帽子,帽仔,mau4 zai3,Hat
草帽,草帽,cau3 mau4,Straw hat
鞋,鞋,hai2,Shoes
拖鞋,拖鞋,to1 hai3,Slippers
木拖鞋,屐,kiak6,Clogs
雨鞋,水鞋,sui3 hai2,Rain boots
鞋墊兒,鞋底,hai2 dai3,Insole
靴子,靴,hio1,Boots
襪子,襪,mat5,Socks
手套,手襪,siu3 mat5,Gloves
手絹兒,手巾仔,siu3 gin1 zai3,Handkerchief
(繩)結兒,結,giet5,Knot
圍巾,頸巾,giang3 gin1,Scarf
圍嘴兒,口水枷,heu3 sui3 ga1,Pinafore/Bib
圍裙(做活兒用圍布),圍裙,vui2 sin1,Apron
兜肚,肚搭,du3 dap5,An undergarment to cover chest and abdomen
尿布,尿片,ngiau4 pien4,Diaper
熨斗,燙斗,tong4 deu3,Iron
餓(了),肚胈餓,du3 pat6 ngo4,Hungry
米飯,飯,fan4,Rice (cooked)
麵粉,麵粉,mien4 fun3,Flour
面條,麵,mien4,Noodle
糠,糠,hong1,Bran
剩飯,舊飯,kiu4 fan4,Rice left over
(飯)餿(了),餿,seu1,(Rice)Turning sour
剩(了飯),盈,yin4,(The food) left over
米湯,粥飲,zuk5 yim3,Rice soup
粥,粥,zuk5,Congee
鍋巴,飯癩,fan4 lat5,Rice crust
吃飯,食飯,sit6 fan4,Eat
口渴,渴,hot5,Thirsty
喝(水),食茶,sit6 ca2,Drink
喝酒,食酒,sit6 ziu3,Drink wine
米酒,米酒,mi3 ziu3,Rice wine
白酒,燒酒,sau1 ziu3,Spirit
黃酒,黃酒,vong2 ziu3,Yellow rice wine
酒釀(糯米酒),糯米酒,lo4 mi3 ziu3,Spirit brewed by sticky rice
米酒汁,酒娘,ziu3 ngiong2,Rice wine juice
米酒渣,糟嫲,zau1 ma2,Rice wine grains
茶(茶液),茶葉茶,ca2 yap6 ca2,Tea
香煙,煙仔,yen1 zai3,Cigarette
抽煙,食煙,sit6 yen1,Smoke
煙灰,煙灰,yen1 foi1,Cigarette ash
早飯,朝,zau1,Breakfast
吃早飯,食朝,sit6 zau1,Have breakfast
午飯,晝,ziu4,Lunch
吃午飯,食晝,sit6 ziu4,Have lunch
晚飯,夜,ya4,Dinner
吃晚飯,食夜,sit6 ya4,Have dinner
盛飯,舀飯,yau3 fan4,To fill a bowl with rice
豬肉,豬肉,zu1 ngiuk5,Pork
瘦肉,瘦肉,seu4 ngiuk5,Lean meat
瘦肉,精豬肉,ziang1 zu1 ngiuk5,Lean meat
臘肉,臘肉,lap6 ngiuk5,(Chinese) Bacon
菜(佐飯統稱),菜,coi4,(Food) Dish
葷菜,葷,fun1,Meat dishes
素菜,齋,zai1,Vegetarian dishes
湯,順,sun4,Soup
豬腳(前後腳有無別),豬蹄,zu1 tai2,Pig trotter
豬肝,豬肝,zu1 gon1,Pig’s liver
豬舌頭,豬舌嫲,zu1 set6 ma2,Pig’s tongue
豬血,豬紅,zu1 fung2,Blood of pig
豬血,豬旺,zu1 vong4,Blood of pig
(雞)下水(雞內雜),下水,ha4 sui3,Internal organs of chicken
夾菜,夾菜,gap5 coi4,Pick up food with chopsticks
(用湯)泡飯,淘飯,tau2 fan4,drowning the rice in soup
撥(飯菜),減,gam3,Poke the rice into another bowl
(飯)糊(了),燶,lung1,Scorched
豆腐乾,豆腐乾,teu4 fu4 gon1,Pot-stewed bean curd
豆腐,豆腐,teu4 fu4,Bean curd
豆腐腦兒,豆腐花,teu4 fu4 fa1,Bean curd jelly
豆腐乳,豆腐霉,teu4 fu4 moi1,Soy cheese
粉絲,萊絲仔,loi2 su1 zai3,Glass noodle
(用菜)下酒,傍,bong3,(use something) go with the wine
(吃)飽(了),飽,bau3,(Stomach) Full
打飽嗝,打胲約,da3 goi1 yok5,Belch because of too full
打飽嗝,轉嗉,zon3 sio4,Belch because of too full
打嗝,打呃督,da3 et6 duk6,Belch
冰淇淋,雪糕,siet5 gau2,Ice-cream
冰混兒,雪條,siet5 tiau2,Popsicle (ice-sucker)
饅頭,饅頭,man2 teu2,Steamed bread
包子,包仔,bau1 zai3,Stuffed bun
餃子,餃子,gau3 zu3,Dumpling
餛飩,雲吞,vun2 tun1,Wonton
(餃子)餡兒,餡,ham4,Stuffing
湯圓,雪丸板,siet5 yen2 ban3,Sweet dumpling
湯圓,糖丸,tong2 yen2,Sweet dumpling
餈粑,餈粑,ci2 ba1,Sticky rice cake
粽子,裹粽,go3 zung4,Rice dumpling
零食,小口,siau3 heu3,Snack
(餅乾)渣兒,碎,sui4,Crumb
點心,茶果,ca2 go3,Refreshments
點心,點心,diam3 sim1,Refreshments
夜宵,宵夜,siau1 ya4,Night snacks
作料,配料,pui4 liau4,Seasoning
醋,醋,cu4,Vinegar
鹽,鹽,yam2,Salt
豬油,豬油,zu1 yiu2,Lard
芝麻油,麻油,ma2 yiu2,Sesame oil
紅糖,黃糖,vong2 tong2,Brown sugar
白糖,白糖,pak6 tong2,White sugar
糖果,麻糖,ma2 tong2,Candy
糖果,糖仔,tong2 zai3,Candy
醬油,豉油,si4 yiu2,Soy Sauce
(醬油)殘汁,腳,giok5,Juice stains
蜂蜜,蜜糖,mit6 tong2,Honey
塊頭（人身架大小）,身魁,sin1 foi1,Stature
頭,頭那,teu2 la1,Head
光頭,光頭,gong1 teu2,Bald
頭髮,頭那毛,teu2 la1 mau1,Hair
頭髮旋兒,旋,con4,Headswirl
辮子,毛辮仔,mau1 bien1 zai3,"Braid, pigtail"
髮(頭髮盤成的結),髻,gi4,Hair worn in a bun or coil
頭屑,頭鱗,teu2 lin1,Dandruff
頭屑,頭皮,teu2 pi2,Dandruff
臉,面,mien4,Cheek Face
酒窩兒,酒凹,ziu3 ngiap5,Dimple
前額,額門頭,ngiak5 mun2 teu2,Forehead
太陽穴,梅子罌,moi2 zu1 ang1,Temple (of the skull)
囟門,腦囟,lau3 sim4,Fontanel
眼睛,眼,ngan3,Eye
眼珠,眼珠仁,ngan3 zu1 yin2,Eyeball
眼淚,眼汁,ngan3 zip5,Tears (from the eyes)
睫毛,目睡毛,muk5 soi4 mau1,Eyelash
眉毛,眼眉毛,ngan3 mi2 mau1,Eyebrow
鼻子,鼻公,pi4 gung1,Nose
鼻孔,鼻窿,pi4 lung1,Nares
鼻涕,鼻膿,pi4 lung2,Snot
擤鼻(涕),擤鼻膿,sen4 pi4 lung2,Blow the nose
鼻屎,鼻屎,pi4 si3,Nasal secretion
耳朵,耳公,ngi3 gung1,Ear
耳屎,耳屎,ngi3 si3,Cerumen
嘴,嘴角,zoi3 gok5,Mouth
嘴唇,嘴唇,zoi4 sun2,Lips
舌頭,舌嫲,set6 ma2,Tongue
牙齒,牙,nga2,Tooth
臼齒,大牙,tai4 nga2,Molar tooth
齙牙,暴牙,pau4 nga2,Buck tooth
齒齦,牙床肉,nga2 cong1 ngiuk5,Gum
牙垢,牙黃,nga2 vong2,Tartar of tooth
鬍子,鬚牯,si1 gu3,Beard
下巴,頦啱下,goi1 ngam1 ha1,Chin
口水(清，無色),口水,heu3 sui3,Saliva
唾沫(白色),口水,heu3 sui3,Spit
喉嚨,喉連,heu2 lien2,Throat
嗓子,聲,sang1,Throat (the voice)
脖子,頸,giang3,Neck
肩膀,肩頭,gien1 teu2,Shoulder
胸脯,心肝頭,sim1 gon1 teu2,Chest
背,背樑,boi4 long2,Back
肋骨,肋梗仔,lak6 gang1 zai3,Rib
光膀子,打赤膊,da3 cak5 bok5,Upper part of body naked
胳膊,手臂,siu3 bi3,Arm
胳膊肘,手踭,siu3 zang1,Elbow
手腕,脈門,mak5 mun2,Wrist
手,手,siu3,Hand
左手,左手,zo3 siu3,Left hand
右手,右手,yiu4 siu3,Right hand
手掌,手巴掌,siu3 ba1 zong3,Palm
拳頭,拳頭牯,kien2 teu2 gu3,Fist
手指,手指仔,siu3 zi3 zai3,Finger
大拇指,手指公,siu3 zi3 gung1,Thumb
小拇指,臘尾指,lap6 mui1 zi3,Little finger
指甲,手指甲,siu3 zi3 gap5,Nail
鬥(指紋),腡,lo2,Whorl (shape of finger print)
簸箕(指紋),箕,gi1,Loop (shape of finger print)
趼子,繭,gan3,Callus
腋下,肋坼下,lak6 cak5 ha1,Armpit
乳房,嬭姑,len4 gu1,Bosom
乳頭,嬭頭,len4 teu2,Nipple
乳汁,嬭水,len4 sui3,Breast Milk
肚子,肚胈,du3 pat6,Belly
肚臍,肚臍,du3 ci2,Bellybutton
屁股,屎窟臀,si3 fut5 tun2,Buttocks
肛門,屎窟門,si3 fut5 mun2,Anus
光屁股,打脧鳥,da3 zoi1 diau1,Naked buttocks
胯襠(生了瘡)（腿胯）,髀罅,bi3 la4,Crotch
胯下（腿胯之下）,褲襠下,fu4 long4 ha1,The space between thighs
男陰,卵,lin3,Penis
陰囊,春袋,cun1 toi4,Scrotum
睪丸,核卵,hak6 lon3,Testes
精液,卵屎,lin3 si3,Semen
赤子陰,脧,zoi1,Penis of small boy
女陰,支屄,zi1 biet5,Cunt
交合,屌,diau3,Have sex
日常口頭襌(髒字眼兒),屌,diau3,Fuck
腿(整條腿),腳,giok5,Leg
大腿,大髀,tai4 bi3,Thigh
小腿,腳,giok5,Lowerleg
膝蓋,膝頭,cit5 teu2,Knee
腿肚子,腳囊肚,giok5 lang2 du3,Shank muscle
踝骨,腳眼仁,giok5 ngan3 yin2,Ankle
腳,腳,giok5,Foot
腳跟,腳踭,giok5 zang1,Heel
腳趾,腳趾,giok5 zi3,Toe
腳掌,腳盤,giok5 pan2,Sole
腳心,腳板心,giok5 ban3 sim1,Feet arch
腳印,腳跡,giok5 ziak5,Footprint
泥垢(皮膚上的污垢),㿸,man4,Dirt
男人,老哥,lau3 go1,Man
女人,婦娘,bu1 ngiong2,Woman
老人,老人家,lau3 ngin2,Old person
老頭兒,老伯頭,lau3 bak5 teu2,Old man
老太婆,老婆頭,lau3 po2 teu2,Old woman
年輕人(男女統稱),後生,heu4 sang1,The youth
姑娘,妹仔,moi4 zai3,"Girl, Young lady"
小夥子,後生仔,heu4 sang1 zai3,"Boy, young man"
小孩兒(統稱),僬仔,ziau2 zai3,Child
男孩兒,老弟仔,lau3 tai1 zai3,Small boy
女孩兒,妹仔,moi4 zai3,Small girl
城裏人,城市人,sang2 si4 ngin2,City dwellers
鄉下人,鄉下人,hiong1 ha4 ngin2,"Rustic,countryfolk"
單身漢,單身哥,dan1 sin1 go1,Bachelor
老姑娘,老姑婆,lau3 gu1 po2,Oldmaid
寡婦,守寡婆,siu3 ga3 po2,Widow
孤兒,冇爺冇娭,mau2 ya2 mau2 oi1,Orphan
孤兒,孤兒,gu1 yi2,Orphan
獨眼兒,單眼,dan1 ngan3,Single-eyed One-eyed
眯縫眼,眯眼,mi1 ngan3,Slit eyes
金魚眼,爆眼,bau4 ngan3,Bloated eyes
對眼兒,對眼,dui4 ngan3,Cross-eyes
瞎子,盲公,mang2 gung1,Blind
聾子,聾公,lung1 gung1,Deaf
啞巴,啞佬,a3 lau3,Dumb
結巴,大舌頭,tai4 set6 teu2,Stammer
結巴,結佬,giet5 lau3,Stammer
豁嘴兒,缺嘴,kiet6 zoi4,Harelip
豁牙,缺牙,kiet5 nga2,Broken teeth
歪脖子,側頭仔,zet5 teu2 zai3,Wry neck
左撇子,左手仔,zo3 siu3 zai3,Left-handed
羅圈腿,鴨嫲蹄,ap5 ma2 tai2,Bow legs
胖子,肥佬,pui2 lau3,Fat guy
高個兒,高佬,gau1 lau3,Tallman
獠牙,爆牙,bau4 nga2,Tusk
麻子,班支,ban1 zi1,Pock-marks
瘌痢頭,瘌痢頭,lat6 li2 teu2,A head covered with favus
六指,六指,luk5 zi3,A hand with six fingers
駝子,駝背佬,to2 boi4 lau3,Crook back
愛哭的人,叫包,giau4 bau2,Someone who is easy to cry
瘋子,懵佬,mung3 lau3,Sycle
瘸子,跛佬,bai1 lau3,Gimp
傻瓜,傻佬,so2 lau3,"Fool, idiot"
騙子,撮仔,cot5 zai3,Swindler
小偷,賊佬,cet6 lau3,Thief
強盜,賊佬,cet6 lau3,Bandit
乞丐,攞食佬,lo3 sit5 lau3,Beggar
情夫,契家佬,ke4 ga1 lau3,Cicisbeo (lover of a married woman)
情婦,契家婆,ke4 ga1 po2,Mistress (lover of a married man)
偷漢,佮人,gap5 ngin2,Affairs of a married woman
妓女,老妓嫲,lau3 gi3 ma2,Prostitute
內行,在行,cai4 hong2,Expert
外行,唔在行,m1 cai4 hong2,Layman
廚師,伙頭,fo3 teu2,Cook
農民,耕田佬,gang1 tien2 lau3,Farmer peasant
木匠,鬥木佬,dau4 muk5 lau35,Carpenter
木匠,木匠,muk5 siong4,Carpenter
鐵匠,打鐵佬,da3 tiet5 lau3,Blacksmith
醫生,醫生,yi1 sang1,Doctor
理髮師,剃頭佬,tai4 teu2 lau3,Barber
泥瓦匠,泥水匠,lai2 sui3 siong4,Mason
商人,生理佬,sen1 li1 lau3,Businessman
陌生人,生保人,sang1 bau3 ngin2,Stranger
客人,人客,ngin2 hak5,Guest
有脾氣,有性,yiu1 siang4,Have a temper
(脾氣)壞,臭,ciu4,Bad (temper)
小氣,小相,siau3 siong4,Stingy
小氣,歪,vai1,Stingy
大方,大方,tai4 fong1,Generous
大方,捨得,sa3 det5,Generous
能幹,叻,liak6,Capable
能幹,能替【專指小孩】,len2 tai4,Capable
勤快,勤力,kin2 lit6,Diligent
懶,懶,lan1,Lazy
節儉,慳儉,han1 kiam4,Thrifty
聰明,叻,liak6,Briliant
精,精,ziang1,Smart
爽快,爽直,song3 cit6,Frank
笨,蠢,cun3,Stupid
殘忍,梟,hiau1,Brutal
蠻橫,牛王,ngiu2 vong2,Peremptory
刻薄,刻簿,ket5 pok6,Harsh
奸詐,奸,gan1,Tricky
陰險,陰毒,yim1 tuk6,Insidious
促狹(愛捉弄人),蠱惑,gu3 vak6,Crafty
善良,好心,hau3 sim1,Kind
老實,老實,lau3 sit6,Honest
不吭氣,唔聲,m1 sang1,Speechless
害羞,畏羞,vui4 siu1,Shy
可憐,可憐,ko3 lien2,Piteous
年輕,後生,heu4 sang1,Young
漂亮,靚,liang4,Beautiful
難看,醜,ciu3,Ugly
整齊,齊整,ce2 zin1,Orderly
整齊,就亼,ciu4 zip6,Orderly
邋遢,累贅,lui4 zui4,Sluttery
邋遢,囉嗦,lo4 so4,Sluttery
乖,聽話,tang4 va4,Well-behaved
淘氣,頑皮,ngan2 pi2,Naughty
執拗,硬頸,ngang4 giang3,Stubborn
(年紀)小,細,se4,Young
偷懶,偷懶,teu1 lan1,Be lazy
磨蹭,磨嗦,mo4 so4,Dawdle
猾頭,奸,gan1,Cunning
耍賴,賴死,lai4 si3,Pester
下流,下流,ha4 liu2,Obscene
無恥,唔愛面,m1 oi4 mien4,Infamous
說謊,講大話,gong3 tai4 va4,Tell a lie
裝傻,詐懵,za4 mung3,Act the fool
顯(故意讓人看),映,yang3,Flaunt
父親(對稱),阿爸,a1 ba1,Dad
父親(指稱),阿爸,a1 ba1,Father
母親(對稱),阿媽,a1 ma1,Mom
母親(指稱),阿咪,a1 mi1,Mother
父母,阿咪阿爸,a1 mi1 a1 ba1,Parents
父母,爺娘,ya2 ngiong2,Parents
父母,爺哀,ya2 oi1,Parents
祖父,阿公,a1 gung1,Grandpa (father’s father)
祖母,阿婆,a1 po2,Grandma (father’s mother)
曾祖父,公太,gung1 tai4,Great grandfather
曾祖母,婆太,po2 tai4,Great grandmother
外祖父,姐公,zia3 gung1,Grandpa(mum’s father)
外祖母,姐婆,zia3 po2,Grandma(mum’s mother)
伯父,阿伯,a1 bak5,Uncle (father’s elder brother)
伯母,阿娘,a1 ngiong2,Wife of father’s elder brother
叔父,阿叔,a1 suk5,Uncle (father’s younger brother)
嬸母,叔姆,suk5 me1,Wife of father’s younger brother
姑父,姑丈,gu1 cong1,the husband of father’s sister
姑父,姑爺,gu1 ya2,the husband of father’s sister
姑母,大姑【長】,tai4 gu1,Aunt (farther’s sister)
姑母,姑仔【幼】,gu1 zai3,Aunt (farther’s sister)
姨父,姨丈,yi2 cong1,the busband of mother’s sister
姨母,大姨【長】,tai4 yi2,Aunt (mother’s sister)
姨母,姨仔【幼】,yi2 zai3,Aunt (mother’s sister)
舅父,大舅【長】,tai4 kiu1,Uncle(mother’s brother)
舅父,舅仔【幼】,kiu1 zai3,Uncle(mother’s brother)
舅母,大舅娘【長】,tai4 kiu1 ngiong2,the wife of mother’s brother
舅母,舅娘仔【幼】,kiu1 ngiong2 zai3,the wife of mother’s brother
哥哥(對),阿哥,a1 go1,Face-to-face address to elder brother
哥哥(指),阿哥,a1 go1,Elder brother
嫂子,阿嫂,a1 sau3,the wife of elder brother
姐姐,阿姐,a1 zia3,Elder sister
姐夫,姐夫,zia3 fu1,the husband of elder sister
弟弟,老弟,lau3 tai1,Younger brother
妹妹,老妹,lau3 moi4,Younger sister
妹夫,老妹婿,lau3 moi4 se4,husband of younger sister
大伯子(夫兄),大伯爺,tai4 bak5 ya2,husband’s elder brother
小叔子(夫弟),叔仔,suk5 zai3,husband’s younger brother
大姑子,大姑,dai4 gu1,the elder sister of husband
大姨子,大姨,tai4 yi2,Sister-in-law (wife’s elder sister)
小姨子,姨仔,yi2 zai3,wife’s younger sister
大舅子(妻兄),大舅,tai4 kiu1,wife’s elder brother
小舅子(妻弟),舅仔,kiu1 zai3,wife’s younger brother
連襟,老襟,lau1 kim1,the husbands of sisters
妯娌,子嫂,zu3 sau3,the wives of brothers
