# Mandarin character frequency data (auto-generated — do not edit)
# Sources: hanzicraft.com/lists/frequency + Wiktionary Mandarin top-1000
# Format: char TAB pseudo-frequency (= 100000 // rank)
# Regenerate: python build/fetch_mandarin_ranks.py
#
校	158
苦	157
创	157
假	157
久	157
错	156
承	156
印	156
晚	156
兰	156
试	155
股	155
拿	155
脑	155
预	154
谁	154
益	154
阳	154
若	153
哪	153
微	153
尼	153
继	152
送	152
急	152
血	152
惊	151
伤	151
素	151
药	151
适	151
波	150
夜	150
省	150
初	150
喜	149
卫	149
源	149
食	149
险	149
待	148
述	148
陆	148
习	148
置	147
居	147
劳	147
财	147
环	147
排	146
福	146
纳	146
欢	146
雷	145
警	145
获	145
模	145
充	145
负	144
云	144
停	144
木	144
游	144
龙	143
树	143
疑	143
层	143
冷	143
洲	142
冲	142
射	142
略	142
范	142
竟	141
句	141
室	141
异	141
激	141
汉	140
村	140
哈	140
策	140
演	140
简	139
卡	139
罪	139
判	139
担	139
州	138
静	138
退	138
既	138
衣	138
您	137
宗	137
积	137
余	137
痛	137
检	136
差	136
富	136
灵	136
协	136
角	136
占	135
配	135
征	135
修	135
皮	135
挥	134
胜	134
降	134
阶	134
审	134
沉	134
坚	133
善	133
妈	133
刘	133
读	133
啊	132
超	132
免	132
压	132
银	132
买	132
皇	131
养	131
伊	131
怀	131
执	131
副	131
乱	130
抗	130
犯	130
追	130
帮	130
宣	130
佛	129
岁	129
航	129
优	129
怪	129
香	129
田	128
铁	128
控	128
税	128
左	128
右	128
份	127
穿	127
艺	127
背	127
阵	127
草	127
脚	126
概	126
恶	126
块	126
顿	126
敢	126
守	125
酒	125
岛	125
托	125
央	125
户	125
烈	125
洋	124
哥	124
索	124
胡	124
款	124
靠	124
评	123
版	123
宝	123
座	123
释	123
景	123
顾	123
弟	122
登	122
货	122
互	122
付	122
伯	122
慢	121
欧	121
换	121
闻	121
危	121
忙	121
核	121
暗	120
姐	120
介	120
坏	120
讨	120
丽	120
良	120
序	119
升	119
监	119
临	119
亮	119
露	119
永	119
呼	118
味	118
野	118
架	118
域	118
沙	118
掉	118
括	117
舰	117
鱼	117
杂	117
误	117
湾	117
吉	117
减	116
编	116
楚	116
肯	116
测	116
败	116
屋	116
跑	116
梦	115
散	115
温	115
困	115
剑	115
渐	115
封	115
救	114
贵	114
枪	114
缺	114
楼	114
县	114
尚	114
毫	114
移	113
娘	113
朋	113
画	113
班	113
智	113
亦	113
耳	112
恩	112
短	112
掌	112
恐	112
遗	112
固	112
席	112
松	111
